Category,Indicator,Variable,Units,Statistic,Scale
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue fresh food' (custom destination),pct_access_walk_denue_fresh_food_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue food retail' (custom destination),pct_access_walk_denue_food_retail_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue bakery tortilleria' (custom destination),pct_access_walk_denue_bakery_tortilleria_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue household goods' (custom destination),pct_access_walk_denue_household_goods_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue pharmacy' (custom destination),pct_access_walk_denue_pharmacy_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue finance comms' (custom destination),pct_access_walk_denue_finance_comms_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue preschool' (custom destination),pct_access_walk_denue_preschool_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue primary school' (custom destination),pct_access_walk_denue_primary_school_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue secondary school' (custom destination),pct_access_walk_denue_secondary_school_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue tertiary education' (custom destination),pct_access_walk_denue_tertiary_education_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue primary healthcare' (custom destination),pct_access_walk_denue_primary_healthcare_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue medical clinic' (custom destination),pct_access_walk_denue_medical_clinic_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue hospital' (custom destination),pct_access_walk_denue_hospital_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue care support' (custom destination),pct_access_walk_denue_care_support_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue childcare' (custom destination),pct_access_walk_denue_childcare_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue community' (custom destination),pct_access_walk_denue_community_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue culture' (custom destination),pct_access_walk_denue_culture_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue sport' (custom destination),pct_access_walk_denue_sport_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue recreation' (custom destination),pct_access_walk_denue_recreation_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue employment any' (custom destination),pct_access_walk_denue_employment_any_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue employer medium' (custom destination),pct_access_walk_denue_employer_medium_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to 'denue manufacturing' (custom destination),pct_access_walk_denue_manufacturing_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_local_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_complete_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_health_all_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_civic_all_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_local_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_complete_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_local_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 500 m to an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_complete_500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to a fresh food market / supermarket (source: OpenStreetMap or custom data),pct_access_walk_fresh_food_market_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a fresh food market, supermarket or convenience store (pooled fresh food destinations)",pct_access_walk_fresh_food_pooled_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to a public open space larger than 1.5 hectares (source: OpenStreetMap),pct_access_walk_public_open_space_large_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to any public open space (source: OpenStreetMap),pct_access_walk_public_open_space_any_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data)",pct_access_walk_blue_space_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1000 m to a public open space containing water, such as a park with a lake (source: OpenStreetMap)",pct_access_walk_public_open_space_with_water_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to any public transport stop (best result of GTFS and OpenStreetMap/custom sources),pct_access_walk_pt_any_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue fresh food' (custom destination),pct_access_walk_denue_fresh_food_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue food retail' (custom destination),pct_access_walk_denue_food_retail_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue bakery tortilleria' (custom destination),pct_access_walk_denue_bakery_tortilleria_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue household goods' (custom destination),pct_access_walk_denue_household_goods_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue pharmacy' (custom destination),pct_access_walk_denue_pharmacy_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue finance comms' (custom destination),pct_access_walk_denue_finance_comms_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue preschool' (custom destination),pct_access_walk_denue_preschool_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue primary school' (custom destination),pct_access_walk_denue_primary_school_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue secondary school' (custom destination),pct_access_walk_denue_secondary_school_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue tertiary education' (custom destination),pct_access_walk_denue_tertiary_education_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue primary healthcare' (custom destination),pct_access_walk_denue_primary_healthcare_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue medical clinic' (custom destination),pct_access_walk_denue_medical_clinic_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue hospital' (custom destination),pct_access_walk_denue_hospital_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue care support' (custom destination),pct_access_walk_denue_care_support_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue childcare' (custom destination),pct_access_walk_denue_childcare_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue community' (custom destination),pct_access_walk_denue_community_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue culture' (custom destination),pct_access_walk_denue_culture_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue sport' (custom destination),pct_access_walk_denue_sport_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue recreation' (custom destination),pct_access_walk_denue_recreation_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue employment any' (custom destination),pct_access_walk_denue_employment_any_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue employer medium' (custom destination),pct_access_walk_denue_employer_medium_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to 'denue manufacturing' (custom destination),pct_access_walk_denue_manufacturing_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'essentials' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_local_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'essentials' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_essentials_complete_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'health' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_health_all_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'civic' definition ('all' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_civic_all_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'jobs' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_local_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'jobs' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_jobs_complete_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'services' definition ('local' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_local_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1000 m to an activity centre of the 'services' definition ('complete' tier): a network location whose walkable catchment contains at least one destination of each required category,pct_access_walk_activity_centre_services_complete_1000m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to a fresh food market / supermarket (source: OpenStreetMap or custom data),pct_access_walk_fresh_food_market_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1500 m to a fresh food market, supermarket or convenience store (pooled fresh food destinations)",pct_access_walk_fresh_food_pooled_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to a public open space larger than 1.5 hectares (source: OpenStreetMap),pct_access_walk_public_open_space_large_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to any public open space (source: OpenStreetMap),pct_access_walk_public_open_space_any_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1500 m to a natural blue space -- a river, canal, drain, lake, reservoir, wetland, beach or coast (source: OpenStreetMap or custom data)",pct_access_walk_blue_space_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),"Percentage of population with walking access within 1500 m to a public open space containing water, such as a park with a lake (source: OpenStreetMap)",pct_access_walk_public_open_space_with_water_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to any public transport stop (best result of GTFS and OpenStreetMap/custom sources),pct_access_walk_pt_any_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue fresh food' (custom destination),pct_access_walk_denue_fresh_food_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue food retail' (custom destination),pct_access_walk_denue_food_retail_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue bakery tortilleria' (custom destination),pct_access_walk_denue_bakery_tortilleria_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue household goods' (custom destination),pct_access_walk_denue_household_goods_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue pharmacy' (custom destination),pct_access_walk_denue_pharmacy_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue finance comms' (custom destination),pct_access_walk_denue_finance_comms_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue preschool' (custom destination),pct_access_walk_denue_preschool_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue primary school' (custom destination),pct_access_walk_denue_primary_school_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue secondary school' (custom destination),pct_access_walk_denue_secondary_school_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue tertiary education' (custom destination),pct_access_walk_denue_tertiary_education_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue primary healthcare' (custom destination),pct_access_walk_denue_primary_healthcare_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue medical clinic' (custom destination),pct_access_walk_denue_medical_clinic_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue hospital' (custom destination),pct_access_walk_denue_hospital_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue care support' (custom destination),pct_access_walk_denue_care_support_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue childcare' (custom destination),pct_access_walk_denue_childcare_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue community' (custom destination),pct_access_walk_denue_community_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue culture' (custom destination),pct_access_walk_denue_culture_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue sport' (custom destination),pct_access_walk_denue_sport_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue recreation' (custom destination),pct_access_walk_denue_recreation_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue employment any' (custom destination),pct_access_walk_denue_employment_any_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue employer medium' (custom destination),pct_access_walk_denue_employer_medium_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
Indicator estimates: access (walking),Percentage of population with walking access within 1500 m to 'denue manufacturing' (custom destination),pct_access_walk_denue_manufacturing_1500m,percent,percentage,"grid, custom: agebs, custom: manzanas, custom: condesa_lotes, custom: condesa_fraccionamientos, custom: region_mexicali, custom: region_condesa"
