CVEGEO,pop_total,pop_65_plus,pct_65_plus
0200200018067,2224.0,3.0,0.13
0200200010790,155.0,0.0,0.0
0200200010803,,,
0200200016516,1234.0,18.0,1.46
0200200018442,1411.0,3.0,0.21
0200200018245,180.0,0.0,0.0
0200200010606,495.0,13.0,2.63
0200200017444,115.0,0.0,0.0
020020001729A,0.0,0.0,
0200200012462,99.0,11.0,11.11
0200200014168,5017.0,136.0,2.71
0200200012918,2879.0,392.0,13.62
0200200014878,2635.0,255.0,9.68
0200200017783,2100.0,27.0,1.29
0200200017798,26.0,0.0,0.0
0200200016728,3833.0,83.0,2.17
0200200017336,6002.0,31.0,0.52
0200200010593,99.0,0.0,0.0
0200200013206,3459.0,6.0,0.17
0200200017213,1887.0,50.0,2.65
0200200010818,,,
0200200018368,0.0,0.0,
0200200012246,2313.0,239.0,10.33
0200200010822,,,
020020001387A,794.0,72.0,9.07
0200200010733,380.0,19.0,5.0
0200200010860,,,
0200200015791,3162.0,164.0,5.19
0200200015804,1539.0,72.0,4.68
0200200010875,,,
